LOC_ID,website,google_rating,google_reviews_count,google_maps_url,google_phone,google_hours_mon,google_hours_tue,google_hours_wed,google_hours_thu,google_hours_fri,google_hours_sat,google_hours_sun,google_photo_url,google_place_id,match_confidence,food_info,surveillance_cameras,religious_affiliation
1127,https://lefca.org/en/child-care/all-child-care-centres/fairbank-memorial-day-care-centre,3.0,4.0,https://maps.google.com/?cid=9213564189638758856,(416) 656-8675,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJ4zR3DvEzK4gRyJGtntAn3X8,high,,,
1129,http://schoolweb.tdsb.on.ca/whci/,,,https://maps.google.com/?cid=15243002011207984143,(416) 394-7570,8:15 AM – 2:50 PM,8:15 AM – 2:50 PM,8:15 AM – 2:50 PM,8:15 AM – 2:50 PM,8:15 AM – 2:50 PM,Closed,Closed,,ChIJPQZGk146K4gRD-SdfJEFitM,high,,,
1130,http://www.redappledaycare.com/,4.9,10.0,https://maps.google.com/?cid=10982206752636925219,(416) 429-5437,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,Closed,Closed,,ChIJE3jwZlXM1IkRI_XR9NqiaJg,high,,,
1135,http://www.fraserdaycare.ca/,4.3,9.0,https://maps.google.com/?cid=6880569964501997118,(416) 603-7372,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJw4GOPuQ0K4gRPhZdiu2xfF8,high,,,
1137,https://www.golfroadschoolccc.com/,5.0,24.0,https://maps.google.com/?cid=8619604686491429197,(416) 289-1061,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJySk62m7Q1IkRTSmdMsv8nnc,high,,,
1138,https://mckeemckids.wixsite.com/childcare/about1-c1x1t,3.8,4.0,https://maps.google.com/?cid=5540336138130375182,(416) 222-1414,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,Closed,Closed,,ChIJdQuJ2WwtK4gRDkKFGV0640w,high,,,
1140,http://www.leasidedaycare.com,4.7,12.0,https://maps.google.com/?cid=17352225174157268253,(416) 487-5862,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJGaIfL9nM1IkRHRU8INx8z_A,high,,,
1141,http://www.goldcircledaycare.com/,4.4,29.0,https://maps.google.com/?cid=18033230787787747818,(416) 241-2000,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJTbtYZU03K4gR6vG5etvnQvo,high,,,
1148,http://www.plpdaycares.com/,4.2,6.0,https://maps.google.com/?cid=15202262481840750172,(416) 236-2974,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ2V3Gl0M2K4gRXL5dpC5J-dI,high,,,
1150,https://lefca.org/en/child-care/all-child-care-centres/george-harvey-child-care-centre,4.8,6.0,https://maps.google.com/?cid=7234163478866099707,(416) 658-9244,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJU1Sk3qo2K4gR-_3qFFvpZGQ,high,,,
1157,http://www.childrenscircledaycare.com/,5.0,8.0,https://maps.google.com/?cid=981591383639392607,(416) 461-5151,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJ3ynafZ7M1IkRXwFpqClQnw0,high,,,
1160,https://www.morningsidechildrenscentre.com/,4.5,8.0,https://maps.google.com/?cid=7138848968693306840,(416) 282-9956,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJifC0FYja1IkR2NUgVFBJEmM,high,,,
1167,http://www.mcnicollchildcare.com,4.5,20.0,https://maps.google.com/?cid=11174461306058244203,(416) 499-9743,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJMUH3Vj3T1IkRawDzX1qpE5s,high,,,
1169,http://www.nyad.org/,3.4,5.0,https://maps.google.com/?cid=15892759411654865033,(416) 261-6540,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJy6NT-QnQ1IkRiTBvQHtsjtw,high,,,
1174,http://www.icsg.ca/,4.8,19.0,https://maps.google.com/?cid=1435758003828831507,(416) 588-4318,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJRRJMcuU1K4gREzWkKUzW7BM,high,,,
1180,,,,https://maps.google.com/?cid=11728070753885178251,,,,,,,,,,ChIJcQ0fecY0K4gRi0n5cTZ6wqI,high,,,
1182,https://www.happydayccc.com/,5.0,14.0,https://maps.google.com/?cid=14434350294913908899,(416) 528-1469,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,Closed,Closed,,ChIJ2arNVpU2K4gRowDm4x0dUcg,high,,,
1190,,,,,,,,,,,,,,,location_mismatch,,,
1192,http://childcare.utsc.utoronto.ca/,5,1,https://maps.google.com/?cid=6325000285412253682,,,,,,,,,,ChIJLd6hJG7a1IkR8t89kD_qxlc,high,,,
1193,https://www.childspacedaycare.com/,3.5,4.0,https://maps.google.com/?cid=4481668793084946621,(416) 425-7763,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,Closed,Closed,,ChIJvQOKomvM1IkRvSjIvAUWMj4,high,,,
1194,,2.7,11,https://maps.google.com/?cid=17832431889258835060,(416) 249-9115,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,Closed,Closed,,ChIJK3ZfuSgxK4gRdOyesFKGefc,high,,,
1196,https://www.rosaliehall.com/,4.1,42.0,https://maps.google.com/?cid=4891313722984909764,(416) 438-6880,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,Closed,Closed,,ChIJh3MOgMvR1IkRxEuCb-pv4UM,high,,,
1201,https://lefca.org/childcares/humewood-child-care-centre,4.5,2.0,https://maps.google.com/?cid=13070182040441961968,(416) 658-8886,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJK6OLfoEzK4gR8L07JlGdYrU,high,,,
1204,http://rexdaledaynursery.com/,5.0,23.0,https://maps.google.com/?cid=2067344010633812310,(416) 743-5057,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ_87xvoE6K4gRVhlcpmyusBw,high,,,
1205,,3.9,7.0,https://maps.google.com/?cid=14543993157963504556,(416) 431-3327,7:15 AM – 5:45 PM,7:15 AM – 5:45 PM,7:15 AM – 5:45 PM,7:15 AM – 5:45 PM,7:15 AM – 5:45 PM,Closed,Closed,,ChIJwblJtXDQ1IkRrFsgRLik1sk,high,,,
1207,http://www.plpdaycares.com/,4.6,13.0,https://maps.google.com/?cid=10827028141783494916,(416) 251-8240,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJJ3MpK2o2K4gRBLEpHLtUQZY,high,,,
1211,https://healthsciences.humber.ca/current-students/resources/learning-labs/child-development-centre.html,5.0,11.0,https://maps.google.com/?cid=3258588474861339548,(416) 675-5057,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJLeBZ6607K4gRnMNKAfTUOC0,high,,,
1213,http://www.ghns.ca/,4.8,25.0,https://maps.google.com/?cid=12519632897089101134,(416) 783-2773,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ3f_56_wyK4gRTl1Kvcmrvq0,high,,,
1216,http://www.lefca.org/,3.7,3.0,https://maps.google.com/?cid=14081280566725862170,(416) 763-0068,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJ-8VS1sg2K4gRGmNO0hHCasM,high,,,
1221,,5,3,https://maps.google.com/?cid=1078628141253210895,(416) 769-1174,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJf9hJMrA2K4gRDzMjZJQO-A4,high,,,
1229,http://lesconchildcare.ca/,5.0,3.0,https://maps.google.com/?cid=7001947241273766154,(416) 499-7325,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ25Gmg-fS1IkRCjEmBOvpK2E,high,,,
1231,http://www.childspacedaycare.com/,4.8,8.0,https://maps.google.com/?cid=8347256672078601157,(416) 469-0560,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJJSzgxZzM1IkRxRtBtLdp13M,high,,,
1232,http://www.cfel.ca/,3.5,16.0,https://maps.google.com/?cid=8214945301009027393,(416) 755-8348,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJuT_tuS7M1IkRQVHoAzpZAXI,high,,,
1235,,5.0,9.0,https://maps.google.com/?cid=7702113859517303603,(416) 741-0414,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJE8f-tfk6K4gRM0skaL9n42o,high,,,
1248,http://www.brockearlylearning.com/,5.0,1.0,https://maps.google.com/?cid=6195692004878961553,(416) 535-3491,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,Closed,Closed,,ChIJhQiCuE80K4gRkcuJYA2F-1U,high,,,
1250,https://www.sunnyfacesdaycare.com/,3.8,16.0,https://maps.google.com/?cid=1827672687093834895,(416) 744-0778,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJaZf_V3w6K4gRj2TpH6AyXRk,high,,,
1254,https://www.icsg.ca/,4.2,22.0,https://maps.google.com/?cid=8795341211232803370,(416) 784-1316,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJazWOcUkyK4gRKpriXTtUD3o,high,,,
1255,https://www.campuscoopdaycare.ca/,5,6,https://maps.google.com/?cid=1203509304730445913,(416) 946-0875,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,Closed,Closed,,ChIJbX0pFR81K4gRWehVEFa5sxA,high,,,
1266,https://networkchildcare.com/,4.8,27.0,https://maps.google.com/?cid=264648835646576235,(416) 530-0722 ext. 4037,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJw7243ao2K4gRa1bvvrY4rAM,high,,,
1267,http://www.plainsroadchildcare.com/,4.5,8.0,https://maps.google.com/?cid=17897394331736653445,(416) 421-2273,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,Closed,Closed,,ChIJB4VgzEXM1IkRhb5A_FFRYPg,high,,,
1271,,2.3,3.0,https://maps.google.com/?cid=12347890243953895945,(416) 656-1781,,,,,,,,,ChIJfeQ8cpozK4gRCSpiRMGEXKs,high,,,
1272,,5,6,https://maps.google.com/?cid=10576423642959118484,(416) 653-9702,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJ6T8mllMxK4gRlACfWEQBx5I,high,,,
1278,http://www.ghns.ca/,4.9,29,https://maps.google.com/?cid=5011178642581947516,(416) 292-3607,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ9V1DqufQ1IkRfAQf0WxIi0U,high,,,
1280,http://tinytreasuremontessori.ca/,4.7,13.0,https://maps.google.com/?cid=9836733713372473789,(416) 622-6443,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,Closed,Closed,,ChIJb1ZmWTs4K4gRvems7zEZg4g,high,,,
1285,,4.8,12,https://maps.google.com/?cid=7609870011748790162,(416) 249-7601,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,Closed,Closed,,ChIJZa70ZKwwK4gRki8v9XSwm2k,high,,,
1287,https://www.terrytan.ca/,4.8,16.0,https://maps.google.com/?cid=5872618761735404802,(416) 621-4822,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJ1SKIcxk4K4gRAn2IOqa7f1E,high,,,
1288,https://www.aadaycare.ca/,4.6,21.0,https://maps.google.com/?cid=13326877629665208028,(416) 298-4489,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJPzozd1jR1IkR3GZLaZiU8rg,high,,,
1294,https://www.unicorndaycare.com/contact/,,,https://maps.google.com/?cid=8944713916415061811,(416) 966-5939,,,,,,,,,ChIJzR5PUlgzK4gRM69pdeoBInw,high,,,
1297,http://www.cfel.ca/,4.6,12.0,https://maps.google.com/?cid=12405844269045300061,(416) 283-4294,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ78e-IXjQ1IkRXbtCO6JpKqw,high,,,
1298,http://www.centreforece.ca/,4.4,7.0,https://maps.google.com/?cid=4689510718544006485,(416) 746-6542,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJLxLtxIQwK4gRVc0zBSd9FEE,high,,,
1306,https://ghns.ca/locations/bayview-gardens-child-care/,4.5,33,https://maps.google.com/?cid=14504379875365594356,(416) 222-9405,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJnYJ1CTAtK4gR9KR9LqboSck,high,,,
